example_id,category,exact_match,precision,recall,f1_score,confidence,predicted,reference,error_type
157:topic,topic,0.0,0.0,0.0,0.0,0.9,reuniao; efeito; viva secretaria academica; nao; google meet,validacao de atas,HALLUCINATION
84:participants,participants,0.0,0.0,0.0,0.0,0.6,favor confirm,Secretaria Academica,WRONG_ANSWER
84:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
84:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
84:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
84:topic,topic,0.0,0.0,0.0,0.0,0.8,informacao; sistema academico; a estudante; a pauta,,HALLUCINATION
233:participants,participants,0.0,0.0,0.0,0.0,0.6,dos,Prof. Ricardo Mendes,WRONG_ANSWER
233:time,time,0.0,0.0,0.0,0.0,0.0,,antes do seminario,LOW_CONFIDENCE
233:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
233:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
233:topic,topic,0.0,0.0,0.0,0.0,0.9,agendamento; credibilidade; dados; cara colega; seminario,credibilidade dos dados recolhidos,HALLUCINATION
15:participants,participants,0.0,0.4,0.6666666666666666,0.5,0.7333333333333334,Professora Ana Costa; Prof; Surgiu,Professora Ana Costa,HALLUCINATION
15:time,time,0.0,0.0,0.0,0.0,0.0,,depois da aula,LOW_CONFIDENCE
15:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
15:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
15:topic,topic,0.0,0.0,0.0,0.0,0.9,": imprevisto; plano; trabalhos; professora ana costa,; horario",revisao do plano de trabalhos,HALLUCINATION
164:participants,participants,1.0,1.0,1.0,1.0,0.8,Professora Sofia Carvalho,Professora Sofia Carvalho,EXACT_MATCH
164:time,time,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9,quinta; as 16h,quinta as 16h,HALLUCINATION
164:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9,2026-04-16T00:00:00,2026-04-09T16:00:00,HALLUCINATION
164:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - google meet,LOW_CONFIDENCE
164:topic,topic,0.0,0.0,0.0,0.0,0.9,"marcacao; reuniao; cara; professora sofia carvalho, confirmo; google meet,",orientacao da dissertacao,HALLUCINATION
247:participants,participants,0.0,0.0,0.0,0.0,0.8,Fica,Miguel Santos,WRONG_ANSWER
247:time,time,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9,quinta; as 16h,quinta as 16h,HALLUCINATION
247:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9,2026-04-23T00:00:00,2026-04-16T16:00:00,HALLUCINATION
247:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
247:topic,topic,0.0,0.0,0.0,0.0,0.7,as 16h,horarios do semestre,WRONG_ANSWER
55:participants,participants,0.0,0.2857142857142857,1.0,0.4444444444444445,0.7,Peço; desmarcar a r; acompanham; Ana Martins,Ana Martins,HALLUCINATION
55:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
55:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
55:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
55:topic,topic,0.0,0.16666666666666666,0.5,0.25,0.9,imprevisto; acompanhamento pedagogico; horario; departamento; obrigada,acompanhamento pedagogico,HALLUCINATION
365:participants,participants,0.0,0.0,0.0,0.0,0.6,favor confirm,Professora Ana Costa,WRONG_ANSWER
365:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
365:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
365:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
365:topic,topic,0.0,0.0,0.0,0.0,0.86,atualizacao; processo; caro; sistema academico; a pauta,,HALLUCINATION
383:participants,participants,0.0,0.25,0.3333333333333333,0.28571428571428575,0.7,Ricardo Mendes; ficar marca,Prof. Ricardo Mendes,HALLUCINATION
383:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
383:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
383:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
383:topic,topic,0.0,0.0,0.0,0.0,0.86,"caro; /a docente; prof; ricardo mendes,; a reuniao",avaliacao continua,HALLUCINATION
189:participants,participants,0.0,0.0,0.0,0.0,0.7,Zoom; ser adia,Secretaria Academica,HALLUCINATION
189:time,time,0.0,0.0,0.0,0.0,0.0,,depois da aula,LOW_CONFIDENCE
189:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
189:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
189:topic,topic,0.0,0.0,0.0,0.0,0.8333333333333334,"cancelamento; reuniao; aula; , em zoom; a estudante",analise dos resultados dos estudantes,HALLUCINATION
286:participants,participants,0.0,0.0,0.0,0.0,0.0,,Conselho Pedagogico,LOW_CONFIDENCE
286:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
286:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
286:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
286:topic,topic,0.0,0.0,0.0,0.0,0.8733333333333334,reuniao; bom dia; confirmo; remoto; a minha presenca,relatorio de progresso,HALLUCINATION
8:participants,participants,0.0,0.4,0.6666666666666666,0.5,0.8000000000000002,Professora Sofia Carvalho; Agradeco; Irei,Professora Sofia Carvalho,HALLUCINATION
8:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
8:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
8:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
8:topic,topic,0.0,0.0,0.0,0.0,0.9,estudantes; bom dia; professora sofia carvalho; agradeco; relatorio,,HALLUCINATION
280:participants,participants,0.0,0.0,0.0,0.0,0.7,Relembro; amanha s,Diretor do Curso,HALLUCINATION
280:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
280:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
280:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
280:topic,topic,0.0,0.0,0.0,0.0,0.8384615384615385,"informacao; cara professora, relembro que a aula de amanha sera dedicada a exercicios praticos.",,HALLUCINATION
201:participants,participants,0.0,0.0,0.0,0.0,0.8,Exmo./a Senhor,Conselho Pedagogico,WRONG_ANSWER
201:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
201:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
201:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - google meet,LOW_CONFIDENCE
201:topic,topic,0.0,0.0,0.0,0.0,0.8818181818181818,"reuniao; horario; departamento; exmo./a senhor/a, confirmo a minha presenca na reuniao em google meet.",processo de estagio,HALLUCINATION
354:participants,participants,0.0,0.0,0.0,0.0,0.0,,Secretaria Academica,LOW_CONFIDENCE
354:time,time,0.0,0.0,0.0,0.0,0.0,,ao final do dia,LOW_CONFIDENCE
354:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
354:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
354:topic,topic,0.0,0.0,0.0,0.0,0.9,disponibilidade; reuniao; caro; /a docente; final,orientacao da dissertacao,HALLUCINATION
214:participants,participants,0.0,0.5,0.6666666666666666,0.5714285714285715,0.6666666666666666,Gabinete de Estagios; Estagios; pr,Gabinete de Estagios,HALLUCINATION
214:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
214:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
214:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
214:topic,topic,0.0,0.0,0.0,0.0,0.9,documentacao; falta; cara; gabinete; estagios,,HALLUCINATION
138:participants,participants,0.0,0.0,0.0,0.0,0.6,Mestra; indicacao; avaliaco,Professor Luis Almeida,HALLUCINATION
138:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
138:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
138:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
138:topic,topic,0.0,0.0,0.0,0.0,0.9,reuniao; efeito; caro; coordenacao; mestrado,calendario de avaliacoes,HALLUCINATION
258:participants,participants,0.0,0.4,0.6666666666666666,0.5,0.65,Gabinete de Estagios; Gabin; Estagios; canc,Gabinete de Estagios,HALLUCINATION
258:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
258:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
258:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
258:topic,topic,0.0,0.0,0.0,0.0,0.9,reuniao; efeito; gabinete; estagios; nao,pedido de equivalencias,HALLUCINATION
111:participants,participants,0.0,0.3333333333333333,0.5,0.4,0.8,Mariana Lopes; Envio,Mariana Lopes,HALLUCINATION
111:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
111:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
111:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
111:topic,topic,0.0,0.0,0.0,0.0,0.9,"atualizacao; processo; bom dia; mariana lopes; , envio",,HALLUCINATION
198:participants,participants,0.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.7,Prof; Ricardo Mendes; sab; para r,Prof. Ricardo Mendes,HALLUCINATION
198:time,time,0.0,0.0,0.0,0.0,0.0,,dia 18 as 9h30,LOW_CONFIDENCE
198:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.0,,2026-05-15T09:30:00,LOW_CONFIDENCE
198:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
198:topic,topic,0.0,0.0,0.0,0.0,0.9,remarcacao; reuniao; boa tarde prof; horario; departamento,orientacao da dissertacao,HALLUCINATION
105:participants,participants,0.0,0.0,0.0,0.0,0.6,canc,Professora Sofia Carvalho,WRONG_ANSWER
105:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
105:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
105:location,location,0.0,0.0,0.0,0.0,0.0,,presencial - gabinete da direcao,LOW_CONFIDENCE
105:topic,topic,0.0,0.0,0.0,0.0,0.9,: imprevisto; cara; conselho pedagogico; nao; reuniao,avaliacao continua,HALLUCINATION
197:participants,participants,0.0,0.0,0.0,0.0,0.6666666666666666,Proponho; almoco; situacao,Professora Sofia Carvalho,HALLUCINATION
197:time,time,0.0,0.0,0.0,0.0,0.0,,depois de almoco,LOW_CONFIDENCE
197:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.0,,2026-05-25T13:15:00,LOW_CONFIDENCE
197:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
197:topic,topic,0.0,0.0,0.0,0.0,0.9,necessidade; proponho; almoco; remoto; situacao,orientacao da dissertacao,HALLUCINATION
348:participants,participants,0.0,0.0,0.0,0.0,0.6,favor confirm,Secretaria Academica,WRONG_ANSWER
348:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
348:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
348:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
348:topic,topic,0.0,0.0,0.0,0.0,0.85,informacao; bom dia; sistema academico; a pauta,,HALLUCINATION
376:participants,participants,0.0,0.0,0.0,0.0,0.6,combinar uma r; dos,Professora Ana Costa,HALLUCINATION
376:time,time,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9,quinta; as 16h,quinta as 16h,HALLUCINATION
376:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9,2026-05-28T00:00:00,2026-05-28T16:00:00,HALLUCINATION
376:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
376:topic,topic,0.0,0.0,0.0,0.0,0.9,remarcacao; reuniao; caro; conselho pedagogico; disponibilidade,credibilidade dos dados recolhidos,HALLUCINATION
384:participants,participants,0.0,0.0,0.0,0.0,0.7,Exmo./a Senhor; motivo impr,Gabinete de Estagios,HALLUCINATION
384:time,time,0.0,1.0,0.3333333333333333,0.5,0.9,sexta,sexta as 14h30,TRUNCATION
384:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9,2026-03-27T00:00:00,2026-03-27T14:30:00,HALLUCINATION
384:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
384:topic,topic,0.0,0.0,0.0,0.0,0.9,cancelamento; reuniao; exmo./a senhor/a; sexta; efeito,proposta de projeto,HALLUCINATION
367:participants,participants,0.0,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.7,Coordenacao de Mestrado; Mestra; Tudo; equival,Coordenacao de Mestrado,HALLUCINATION
367:time,time,0.0,1.0,0.3333333333333333,0.5,0.9,sexta,sexta as 14h30,TRUNCATION
367:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9,2026-05-01T00:00:00,2026-05-01T14:30:00,HALLUCINATION
367:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
367:topic,topic,0.0,0.0,0.0,0.0,0.9,reuniao; cara; coordenacao; mestrado; sexta,pedido de equivalencias,HALLUCINATION
210:participants,participants,0.0,0.5,0.6666666666666666,0.5714285714285715,0.8,Professor Luis Almeida; Segue,Professor Luis Almeida,HALLUCINATION
210:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
210:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
210:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
210:topic,topic,0.0,0.0,0.0,0.0,0.9,pedido; esclarecimento; caro; /a docente; professor luis almeida,,HALLUCINATION
39:participants,participants,0.0,0.16666666666666666,0.5,0.25,0.7,Secretaria Academica; Conseguimos; curricular para; almoco,Secretaria Academica,HALLUCINATION
39:time,time,0.0,0.0,0.0,0.0,0.0,,depois de almoco,LOW_CONFIDENCE
39:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.0,,2026-03-27T13:15:00,LOW_CONFIDENCE
39:location,location,0.0,0.75,0.75,0.75,0.85,presencial - gabinete 3,presencial - gabinete 3.12,HALLUCINATION
39:topic,topic,0.0,0.16666666666666666,0.25,0.2,0.9,remarcacao; reuniao; caro; secretaria academica; coordenacao,coordenacao da unidade curricular,HALLUCINATION
125:participants,participants,1.0,1.0,1.0,1.0,0.8,Professora Sofia Carvalho,Professora Sofia Carvalho,EXACT_MATCH
125:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
125:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
125:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
125:topic,topic,0.0,0.0,0.0,0.0,0.8800000000000001,"bom dia; professora sofia carvalho; esta confirmado; remoto; , da minha parte",submissao de artigo,HALLUCINATION
385:participants,participants,0.0,0.0,0.0,0.0,0.8,Caro Professor,Rita Fernandes,WRONG_ANSWER
385:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
385:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
385:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
385:topic,topic,0.0,0.0,0.0,0.0,0.86,"aviso; estudantes; caro professor, partilho a versao revista da ata para validacao.",,HALLUCINATION
159:participants,participants,0.0,0.0,0.0,0.0,0.6,indicacao,Professora Ana Costa,WRONG_ANSWER
159:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
159:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
159:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
159:topic,topic,0.0,0.0,0.0,0.0,0.9,reuniao; efeito; bom dia; conselho pedagogico; direcao,preparacao da defesa,HALLUCINATION
23:participants,participants,1.0,1.0,1.0,1.0,0.8,Carolina Silva,Carolina Silva,EXACT_MATCH
23:time,time,0.0,0.0,0.0,0.0,0.0,,antes do seminario,LOW_CONFIDENCE
23:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
23:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
23:topic,topic,0.0,0.14285714285714285,0.2,0.16666666666666666,0.9,"carolina silva, confirmo; seminario; revisao; plano; trabalhos",revisao do plano de trabalhos,HALLUCINATION
362:participants,participants,0.0,0.0,0.0,0.0,0.7333333333333334,Cara Professora; Preciso; esclar,Ana Martins,HALLUCINATION
362:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
362:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
362:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
362:topic,topic,0.0,0.14285714285714285,0.6666666666666666,0.23529411764705882,0.8727272727272728,"pedido; reuniao; cara professora; secretaria academica, preciso de esclarecer alguns pontos sobre validacao de atas.",validacao de atas,HALLUCINATION
344:participants,participants,0.0,0.6666666666666666,1.0,0.8,0.8,Viva Mariana Lopes,Mariana Lopes,TRUNCATION
344:time,time,0.0,0.0,0.0,0.0,0.0,,depois da aula,LOW_CONFIDENCE
344:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
344:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
344:topic,topic,0.0,0.14285714285714285,0.3333333333333333,0.2,0.9,"marcacao; reuniao; viva mariana lopes,; aula; processo",processo de estagio,HALLUCINATION
341:participants,participants,0.0,0.16666666666666666,0.5,0.25,0.65,Secretaria Academica; Secr; sab; para r,Secretaria Academica,HALLUCINATION
341:time,time,0.0,1.0,0.3333333333333333,0.5,0.9,sexta,sexta as 14h30,TRUNCATION
341:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9,2026-05-29T00:00:00,2026-05-29T14:30:00,HALLUCINATION
341:location,location,0.0,0.0,0.0,0.0,0.0,,presencial - secretaria,LOW_CONFIDENCE
341:topic,topic,0.0,0.17391304347826086,0.8,0.2857142857142857,0.763768115942029,"ponto de situacao.; secretaria academica, gostaria de saber se tem disponibilidade para reunirmos sexta as 14h30, em secretaria, para falarmos sobre revisao do plano de trabalhos.",revisao do plano de trabalhos,HALLUCINATION
391:participants,participants,0.0,0.5,0.6666666666666666,0.5714285714285715,0.8,Professora Ana Costa; Surgiu,Professora Ana Costa,HALLUCINATION
391:time,time,0.0,0.0,0.0,0.0,0.0,,depois da aula,LOW_CONFIDENCE
391:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
391:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
391:topic,topic,0.0,0.1111111111111111,0.25,0.15384615384615383,0.9,"imprevisto; unidade curricular; bom dia; professora ana costa,; horario",coordenacao da unidade curricular,HALLUCINATION
213:participants,participants,0.0,0.2857142857142857,0.6666666666666666,0.4,0.7,Caro Professor Professora Ana Costa; ficar marca,Professora Ana Costa,HALLUCINATION
213:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
213:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
213:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
213:topic,topic,0.0,0.0,0.0,0.0,0.9,"reuniao; caro; professor; professora ana costa,",distribuicao de servico docente,HALLUCINATION
61:participants,participants,0.0,0.1111111111111111,0.5,0.1818181818181818,0.7,Mariana Lopes; manha para alinharmos os proximos passos r,Mariana Lopes,HALLUCINATION
61:time,time,0.0,0.5,0.3333333333333333,0.4,0.9,segunda; manha,segunda de manha,HALLUCINATION
61:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9,2026-03-23T00:00:00,2026-03-23T09:00:00,HALLUCINATION
61:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
61:topic,topic,0.0,0.14285714285714285,0.3333333333333333,0.2,0.9,: pedido; reuniao; mariana lopes; manha; submissao,submissao de artigo,HALLUCINATION
137:participants,participants,0.0,0.0,0.0,0.0,0.0,,Conselho Pedagogico,LOW_CONFIDENCE
137:time,time,0.0,1.0,0.6666666666666666,0.8,0.9,as 11h,terca as 11h,TRUNCATION
137:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9,2026-05-23T11:00:00,2026-05-26T11:00:00,HALLUCINATION
137:location,location,0.0,0.0,0.0,0.0,0.0,,remoto - zoom,LOW_CONFIDENCE
137:topic,topic,0.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.9,reuniao; caro; /a colega; terca; processo,processo de estagio,HALLUCINATION
221:participants,participants,0.0,0.2857142857142857,0.6666666666666666,0.4,0.64,Coordenacao de Mestrado; Coor; Mestra; reunio; servico,Coordenacao de Mestrado,HALLUCINATION
221:time,time,0.0,1.0,0.3333333333333333,0.5,0.9,quarta,quarta a tarde,TRUNCATION
221:time_normalized,time_normalized,0.0,0.0,0.0,0.0,0.9,2026-06-03T00:00:00,2026-06-03T15:00:00,HALLUCINATION
221:location,location,0.0,0.0,0.0,0.0,0.0,,presencial - sala de reunioes do departamento,LOW_CONFIDENCE
221:topic,topic,0.0,0.0,0.0,0.0,0.9,coordenacao; mestrado; confirmo; sala; reunioes,distribuicao de servico docente,HALLUCINATION
259:participants,participants,0.0,0.5,1.0,0.6666666666666666,0.7,favor confirm; Miguel Santos,Miguel Santos,HALLUCINATION
259:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
259:time_normalized,time_normalized,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
259:location,location,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
259:topic,topic,0.0,0.0,0.0,0.0,0.9,"envio; documentos; cara professora,; sistema academico; obrigada",,HALLUCINATION
300:participants,participants,0.0,0.0,0.0,0.0,0.6,ser adia,Secretaria Academica,WRONG_ANSWER
300:time,time,1.0,1.0,1.0,1.0,0.0,,,LOW_CONFIDENCE
